index,kr,en,jp,gan,bun,,,,,,
string,string,string,string,string,string,,,,,,
ui_product_name_401001,양배추,Cabbage,キャベツ,양배추,양배추,,,,,,
ui_product_name_401002,밀,Wheat,小麦,밀,밀,,,,,,
ui_product_name_401003,토마토,Tomato,トマト,토마토,토마토,,,,,,
ui_product_name_401004,호박,Pumpkin,カボチャ,호박,호박,,,,,,
ui_product_name_401005,감자,Potato,じゃがいも,감자,감자,,,,,,
ui_product_name_401006,당근,Carrot,人参,당근,당근,,,,,,
ui_product_name_402001,우유,Milk,牛乳,우유,우유,,,,,,
ui_product_name_402002,달걀,Egg,卵,달걀,달걀,,,,,,
ui_product_name_402003,돼지고기,Pork,豚肉,돼지고기,돼지고기,,,,,,
ui_product_name_402004,산양유,Goat Milk,ヤギの乳,산양유,산양유,,,,,,
ui_product_name_402005,닭고기,Chicken,鶏肉,닭고기,닭고기,,,,,,
ui_product_name_402006,오리알,Duck Egg,アヒルの卵,오리알,오리알,,,,,,
ui_product_name_403001,식빵,Bread,食パン,식빵,식빵,,,,,,
ui_product_name_403002,버터,Butter,バター,버터,버터,,,,,,
ui_product_name_403003,케찹,Ketchup,ケチャップ,케찹,케찹,,,,,,
ui_product_name_403004,소시지,Sausage,ソーセージ,소시지,소시지,,,,,,
ui_product_name_403005,치즈,Cheese,チーズ,치즈,치즈,,,,,,
ui_product_name_403006,식초,Vinegar,酢,식초,식초,,,,,,
ui_product_name_403007,파스타,Pasta,パスタ,파스타,파스타,,,,,,
ui_product_name_403008,푸딩,Pudding,プリン,푸딩,푸딩,,,,,,
ui_product_name_403009,치킨 스톡,Chicken Stock,チキンストック,치킨 스톡,치킨 스톡,,,,,,
ui_product_name_404001,돈코츠 라멘,Tonkotsu Ramen,豚骨ラーメン,돈코츠 라멘,돈코츠 라멘,,,,,,
ui_product_name_404002,베이컨 포테이토 피자,Bacon Potato Pizza,ベーコンポテトピザ,베이컨 포테이토 피자,베이컨 포테이토 피자,,,,,,
ui_product_name_404003,계란찜,Steamed Eggs,茶碗蒸し,계란찜,계란찜,,,,,,
ui_product_name_404004,치즈 핫도그,Cheese Hotdog,チーズホットドッグ,치즈 핫도그,치즈 핫도그,,,,,,
ui_product_name_404005,그린 샐러드,Green Salad,グリーンサラダ,그린 샐러드,그린 샐러드,,,,,,
ui_product_name_404006,프리타타,Frittata,フリッタータ,프리타타,프리타타,,,,,,
ui_product_name_404007,크림 파스타,Creamy Pasta,クリームパスタ,크림 파스타,크림 파스타,,,,,,
ui_product_name_404008,야채 카레,Vegetable Curry,野菜カレー,야채 카레,야채 카레,,,,,,
ui_product_name_404009,브레드 푸딩,Bread Pudding,ブレッドプディング,브레드 푸딩,브레드 푸딩,,,,,,
ui_product_name_405001,라멘 정식,Ramen Meal,ラーメン定食,라멘 정식,라멘 정식,,,,,,
ui_product_name_405002,피자 세트,Pizza Combo,ピザセット,피자 세트,피자 세트,,,,,,
ui_product_name_405003,계란찜 정식,Steamed Eggs Meal,茶碗蒸し定食,계란찜 정식,계란찜 정식,,,,,,
ui_product_name_405004,핫도그 세트,Hotdog Combo,ホットドッグセット,핫도그 세트,핫도그 세트,,,,,,
ui_product_name_405005,샐러드 세트,Salad Combo,サラダセット,샐러드 세트,샐러드 세트,,,,,,
ui_product_name_405006,브런치 세트,Brunch Combo,ブランチセット,브런치 세트,브런치 세트,,,,,,
ui_product_name_405007,파스타 세트,Pasta Combo,パスタセット,파스타 세트,파스타 세트,,,,,,
ui_product_name_405008,카레 정식,Curry Meal,カレー定食,카레 정식,카레 정식,,,,,,
ui_product_name_405009,디저트 세트,Dessert Combo,デザートセット,디저트 세트,디저트 세트,,,,,,
seth_hatefood,없음,None,特になし！,없음,없음,,,,,,
ui_structure_name_2201001,밭,Field,畑,밭(중),밭(중),,,,,,
ui_structure_name_2202001,축사,Barn,畜舎,축사(중),축사(중),,,,,,
ui_structure_name_2203001,공장,Factory,工場,공장(중),공장(중),,,,,,
ui_structure_name_2204001,전문점,Specialty Store,専門店,전문점(중),전문점(중),,,,,,
ui_structure_name_2205001,레스토랑,Restaurant,レストラン,레스토랑,레스토랑,,,,,,
ui_structure_name_2211001,밭_리모델링1,Field,畑,밭_리모델링1,밭_리모델링1,,,,,,
ui_structure_name_2212001,밭_리모델링2,Field,畑,밭_리모델링2,밭_리모델링2,,,,,,
ui_structure_name_2213001,밭_리모델링3,Field,畑,밭_리모델링3,밭_리모델링3,,,,,,
ui_structure_name_2221001,축사_리모델링1,Barn,畜舎,축사_리모델링1,축사_리모델링1,,,,,,
ui_structure_name_2222001,축사_리모델링2,Barn,畜舎,축사_리모델링2,축사_리모델링2,,,,,,
ui_structure_name_2223001,축사_리모델링3,Barn,畜舎,축사_리모델링3,축사_리모델링3,,,,,,
ui_structure_name_2231001,공장_리모델링1,Factory,工場,공장_리모델링1,공장_리모델링1,,,,,,
ui_structure_name_2232001,공장_리모델링2,Factory,工場,공장_리모델링2,공장_리모델링2,,,,,,
ui_structure_name_2233001,공장_리모델링3,Factory,工場,공장_리모델링3,공장_리모델링3,,,,,,
ui_structure_name_210001,기차역,Train Station,駅,기차역,기차역,,,,,,
ui_structure_name_210002,안내판,Guide Post,案内板,안내판,안내판,,,,,,
ui_structure_name_210003,우체국,Post Office,郵便局,우체국,우체국,,,,,,
ui_structure_name_210004,마이하우스,My House,マイハウス,마이하우스,마이하우스,,,,,,
ui_structure_name_210005,창고,Storage,倉庫,창고,창고,,,,,,
